Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58461500,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""0451163966""","=""9780451163967""",0,4.20,Signet,Mass Market Paperback,325,1993,1962,,2023/06/15,,,read,,,,1,0
45322593,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,"=""0141439742""","=""9780141439747""",0,3.88,Penguin Books,Paperback,608,2003,1838,,2023/06/15,,,read,,,,1,0
3835,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Edith Grossman, Harold Bloom","=""0060934344""","=""9780060934347""",0,3.89,Ecco,Paperback,940,2005,1605,,2023/06/15,,,read,,,,1,0
3774496,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Richard Pevear, Larissa Volokhonsky","=""1400079985""","=""9781400079988""",0,4.15,Vintage Classics,Paperback,1273,2011,1867,,2023/06/15,,,read,,,,1,0
48985689,"Night (The Night Trilogy, #1)",Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac","=""0374500010""","=""9780374500016""",0,4.36,Hill and Wang,Paperback,120,2006,1956,,2023/06/15,,,read,,,,1,0
56167874,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393312836""","=""9780393312836""",0,4.00,W. W. Norton & Company,Paperback,192,1989,1962,,2023/06/15,,,read,,,,1,0
58666654,The Godfather,Mario Puzo,"Puzo, Mario","Robert Thompson, Peter Bart","=""0451205766""","=""9780451205766""",0,4.38,Berkley,ebook,,2019,1969,,2023/06/15,,,read,,,,1,0
54872718,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,4.19,Harcourt,Mass Market Paperback,311,2004,1959,,2023/06/15,,,read,,,,1,0
60496776,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""0743297334""","=""9780743297332""",0,3.80,Scribner,Paperback,251,2022,1926,,2023/06/15,,,read,,,,1,0
35125819,David Copperfield,Charles Dickens,"Dickens, Charles",,"=""185326024X""","=""9781853260247""",0,4.02,Wordsworth Editions Limited,Paperback,750,2000,1850,,2023/06/15,,,read,,,,1,0
57660147,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""""","=""9780679732259""",0,3.71,Vintage,Paperback,267,1990,1930,,2023/06/15,,,read,,,,1,0
